"points	Destinations	Distance from HU	Distance from HU on followed route	Order followed by route	Departure time"
"31	Samama-Shell-Petrol-Pump	3	8.4	1	7:18"
"32	Madina-Masjid-13D	6.1	34.6	5	7:18"
"32	13-D	7.3	33.2	4	7:18"
"32	Expo-Centre 7.1 32.4 3 7:18"
"32	Civic-Center-Bridge	9.1	28.5	2	7:18"
"32	Mashriq-Center	8	16.8	1	7:18"
"33	Saadi-Town	11	12	4	7:18"
"33	Safoora-Chowrangi	5	7.7	3	7:18"
"33	Nawaz-Shareef-Flats	2.1	4.1	2	7:18"
"33	Rabia-City	0.65	0.8	1	7:18"
"34	Shah-Faisal-Town 5.6 11.3 2 7:18"
"34	Kamran-Chaurangi	2.5	2.6	1	7:18"
